Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: prompt,Spreadsheet: opt_a,Spreadsheet: opt_b,Spreadsheet: correct,Spreadsheet: randomise_trials,Manipulation: Spreadsheet
1,1680011884058,28/03/2023 13:58:04,1680015484058,1,28/03/2023 15:58:04,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1680011898077,28/03/2023 13:58:18,1680015498077,1,28/03/2023 15:58:18,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,1,main,Screen 1,cnypgd,1,response,A,14032.534000047684,14018.17,14032.534000047684,14032.534000047684,14018.17,14032.534000047684,1,0,14032.534000047684,0,0,,Click Response,Response,2,object-5,main,Minha avó tem duas lâmpadas antigas na sala.,Ele tem duas lâmpadas velhas na sala.,Possui dois Lumpears na sala de estar que as relíquias.,opt_a,1,
3,1680011915022,28/03/2023 13:58:35,1680015515022,1,28/03/2023 15:58:35,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,2,main,Screen 1,cnypgd,1,response,A,16959.564000095368,16949.322000000004,16959.564000095368,16959.564000095368,16949.322000000004,16959.564000095368,1,0,16959.564000095368,0,0,,Click Response,Response,2,object-5,main,Seus vizinhos são pobres homens.,Os vizinhos são infelizes.,Os vizinhos não têm dinheiro.,opt_a,1,
4,1680011930504,28/03/2023 13:58:50,1680015530504,1,28/03/2023 15:58:50,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,3,main,Screen 1,cnypgd,1,response,B,15492.841999999997,15485.038,15492.841999999997,15492.841999999997,15485.038,15492.841999999997,1,0,15492.841999999997,0,0,,Click Response,Response,3,object-6,main,Seus pais falam uma rara língua.,Eles falam um idioma que muito poucas pessoas falam.,Eles falam uma linguagem estranha.,opt_a,1,
5,1680011940724,28/03/2023 13:59:00,1680015540724,1,28/03/2023 15:59:00,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,4,main,Screen 1,cnypgd,1,response,A,10228.103999952313,10216.257999999994,10228.103999952313,10228.103999952313,10216.257999999994,10228.103999952313,1,0,10228.103999952313,0,0,,Click Response,Response,2,object-5,main,"Naquela casa, mora um homem sozinho.",Apenas um homem mora em casa.,O homem se sente sozinho.,opt_b,1,
6,1680011957822,28/03/2023 13:59:17,1680015557822,1,28/03/2023 15:59:17,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,5,main,Screen 1,cnypgd,1,response,B,17110.44600009537,17101.566999999995,17110.44600009537,17110.44600009537,17101.566999999995,17110.44600009537,1,0,17110.44600009537,0,0,,Click Response,Response,3,object-6,main,Santiago comprou um novo computador.,O computador era 100% novo.,Comprei outro computador.,opt_b,1,
7,1680011969121,28/03/2023 13:59:29,1680015569121,1,28/03/2023 15:59:29,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,6,main,Screen 1,cnypgd,1,response,A,11308.67900004769,11300.372000000003,11308.67900004769,11308.67900004769,11300.372000000003,11308.67900004769,1,0,11308.67900004769,0,0,,Click Response,Response,2,object-5,main,O artigo contém informações certas.,Contém algumas informações.,Ele contém informações que são para verar.,opt_b,1,
8,1680011983024,28/03/2023 13:59:43,1680015583024,1,28/03/2023 15:59:43,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,7,main,Screen 1,cnypgd,1,response,B,13911.706999904636,13899.444000000003,13911.706999904636,13911.706999904636,13899.444000000003,13911.706999904636,1,0,13911.706999904636,0,0,,Click Response,Response,3,object-6,main,O próprio presidente conversou com a classe.,Muitos anos atrás eles são amigos.,O presidente que já havia falado com a classe.,opt_a,1,
9,1680011993337,28/03/2023 13:59:53,1680015593337,1,28/03/2023 15:59:53,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,8,main,Screen 1,cnypgd,1,response,A,10324.762999904633,10317.828999999998,10324.762999904633,10324.762999904633,10317.828999999998,10324.762999904633,1,0,10324.762999904633,0,0,,Click Response,Response,2,object-5,main,Mariela é uma velha amiga de Florence.,Muitos anos atrás eles são amigos.,Mariela é velha.,opt_a,1,
10,1680012012220,28/03/2023 14:00:12,1680015612220,1,28/03/2023 16:00:12,127819,11,task-6yod,,28492496,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,Interpretation,3,ABC,AB,conds_collocation,9,main,Screen 1,cnypgd,1,response,B,18890.334000000003,18884.04800000001,18890.334000000003,18890.334000000003,18884.04800000001,18890.334000000003,1,0,18890.334000000003,0,0,,Click Response,Response,3,object-6,main,Marta é a pessoa única de quem falei.,"Não contei a você sobre mais ninguém, além de Marta.","Não há ninguém (tão especial) quanto Marta, que eu te disse.",opt_b,1,
