Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-r1ad,order-e485,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1680011313601,28/03/2023 13:48:33,1680014913601,1,28/03/2023 15:48:33,127819,11,task-kew6,,28492079,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680011334597,28/03/2023 13:48:54,1680014934597,1,28/03/2023 15:48:54,127819,11,task-kew6,,28492079,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,instructions,2,ABC,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,21007.128000095367,21000.197,21007.128000095367,21007.128000095367,21000.197,21007.128000095367,1,0,21007.128000095367,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680011334602,28/03/2023 13:48:54,1680014934602,1,28/03/2023 15:48:54,127819,11,task-kew6,,28492079,BLIND,8468472,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x690,,instructions,2,ABC,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680042824148,28/03/2023 22:33:44,1680017624148,-7,28/03/2023 08:33:44,127819,11,task-kew6,,28494258,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x716,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680042826292,28/03/2023 22:33:46,1680017626292,-7,28/03/2023 08:33:46,127819,11,task-kew6,,28494258,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x716,,instructions,2,BAC,BA,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,2142,2108,2142,2142,2108,2142,1,0,2142,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680042826298,28/03/2023 22:33:46,1680017626298,-7,28/03/2023 08:33:46,127819,11,task-kew6,,28494258,BLIND,8469194,,complete,,,mobile,Apple iPhone,iOS 16.3.1,Mobile Safari 16.3,414x896,414x716,,instructions,2,BAC,BA,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680032824542,28/03/2023 19:47:04,1680018424542,-4,28/03/2023 11:47:04,127819,11,task-kew6,,28495030,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,instructions,2,BCA,AB,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
2,1680032830845,28/03/2023 19:47:10,1680018430845,-4,28/03/2023 11:47:10,127819,11,task-kew6,,28495030,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,instructions,2,BCA,AB,Spreadsheet1,1,instructions,Screen 1,ehaj1m,1,continue,,6343.387000011921,6333.803000000001,6343.387000011921,6343.387000011921,6333.803000000001,6343.387000011921,1,0,6343.387000011921,0,0,,Click To Continue,Continue Button,2,object-6,instructions,
3,1680032830848,28/03/2023 19:47:10,1680018430848,-4,28/03/2023 11:47:10,127819,11,task-kew6,,28495030,BLIND,8469452,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 109.0.0.0,1517x853,1517x734,,instructions,2,BCA,AB,Spreadsheet1,,,,,,,END,,,,,,,0,,,,,,,,,,,
1,1680046199247,28/03/2023 23:29:59,1680020999247,-7,28/03/2023 09:29:59,127819,11,task-kew6,,28497513,BLIND,8469996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1920x1080,1548x977,,instructions,2,ABC,BA,Spreadsheet1,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,
